id,name,lat,long,dock_count,city,installation_date
27,Mountain View City Hall,37.389218,-122.081896,15,Mountain View,2013-08-16
28,Mountain View Caltrain Station,37.394358,-122.07671299999998,23,Mountain View,2013-08-15
29,San Antonio Caltrain Station,37.406940000000006,-122.106758,23,Mountain View,2013-08-15
30,Evelyn Park and Ride,37.390277000000005,-122.066553,15,Mountain View,2013-08-16
31,San Antonio Shopping Center,37.400443,-122.108338,15,Mountain View,2013-12-31
32,Castro Street and El Camino Real,37.385956,-122.083678,11,Mountain View,2013-12-31
33,Rengstorff Avenue / California Street,37.400241,-122.099076,15,Mountain View,2013-08-16
