trip_count
11
4
9
2
3
7
10
7
14
8
12
7
14
5
10
1
2
1
8
5
7
2
11
7
10
6
18
9
15
8
11
4
6
4
6
8
8
6
8
12
11
4
4
11
11
11
4
4
2
2
6
7
6
8
3
15
7
10
7
4
9
5
5
7
4
5
2
6
5
7
9
7
10
10
13
10
7
14
4
4
5
4
17
2
8
7
6
6
7
16
7
10
4
12
1
6
1
6
9
10
8
9
6
3
10
14
9
12
3
5
1
3
4
14
9
6
11
12
6
6
9
7
5
13
8
5
6
9
6
6
9
10
8
15
3
1
5
2
8
5
8
5
4
4
4
3
4
8
5
3
6
1
4
6
5
12
4
8
7
1
1
4
2
2
5
8
1
10
9
9
9
7
12
13
10
4
2
4
5
7
4
9
8
2
12
2
4
6
4
3
4
6
4
1
3
4
7
1
5
3
2
2
2
4
3
7
3
2
1
1
4
1
3
1
2
6
4
9
2
4
4
2
4
7
8
2
5
7
4
1
6
1
11
4
7
9
2
12
3
11
6
12
12
14
6
11
16
1
4
2
4
2
6
11
10
11
11
2
12
8
6
16
6
16
2
4
8
10
6
9
5
6
11
11
5
3
3
9
8
9
9
8
8
6
3
2
4
2
2
9
7
3
10
6
7
10
10
13
11
6
9
7
4
12
8
3
6
10
13
12
8
6
7
6
7
6
5
12
2
5
7
9
9
11
4
11
12
9
7
9
6
3
2
10
8
3
11
3
4
12
9
7
8
12
7
9
10
2
2
3
6
7
15
6
5
11
7
6
7
14
4
9
4
3
4
9
5
11
7
4
6
9
7
7
2
11
5
7
7
14
5
9
13
4
8
4
8
15
3
12
4
10
8
11
3
8
4
7
2
7
8
1
12
5
4
3
8
2
6
6
4
7
8
3
5
13
6
9
5
4
4
9
6
9
4
7
7
9
7
8
6
6
10
9
6
11
2
10
9
2
31
5
7
2
4
6
2
12
10
9
8
4
3
6
12
3
17
3
14
2
15
6
13
8
8
4
14
9
12
13
11
2
7
12
5
1
1
6
6
5
6
13
8
3
9
5
6
2
7
2
9
4
8
1
11
2
16
3
10
4
6
3
4
4
3
5
10
5
14
7
15
5
8
4
8
1
6
3
2
1
5
4
15
7
8
5
5
3
13
3
6
15
4
10
3
16
6
5
3
5
4
3
9
12
4
3
6
8
7
12
8
20
8
13
10
11
1
4
4
9
4
10
9
12
10
2
6
15
8
7
1
2
1
1
4
11
5
12
5
7
3
14
2
9
12
6
10
11
10
11
13
5
6
4
1
4
2
14
10
6
13
8
6
2
12
2
16
15
15
2
6
2
8
7
16
10
17
14
15
7
10
4
2
6
1
9
9
1
2
3
8
6
10
9
12
12
12
8
10
3
6
3
2
4
7
5
13
4
13
4
5
5
9
5
5
1
9
6
12
4
12
1
4
5
4
1
9
9
5
3
14
2
9
4
8
5
12
4
8
4
5
4
7
6
9
1
13
4
12
16
10
6
10
4
1
2
2
10
7
11
