id,name,lat,long,dock_count,city,installation_date
21,Franklin at Maple,37.481758,-122.226904,15,Redwood City,2013-08-12
22,Redwood City Caltrain Station,37.486078000000006,-122.232089,25,Redwood City,2013-08-15
23,San Mateo County Center,37.487616,-122.229951,15,Redwood City,2013-08-15
24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,2013-08-12
25,Stanford in Redwood City,37.48537,-122.203288,15,Redwood City,2013-08-12
26,Redwood City Medical Center,37.487682,-122.223492,15,Redwood City,2013-08-12
83,Mezes Park,37.491269,-122.236234,15,Redwood City,2014-02-20
